eps ref
18.09984 0.3839544
12.729657 0.18991688
9.1347223 0.097795956
6.4187989 0.048287835
4.5968413 0.024765621
3.2240419 0.012182364
2.3058087 0.0062312723
1.6155673 0.0030590057
1.1546775 0.0015626137
