pred meas
0.024709368 -0.062288055
0.15160737 0.18470525
-0.15282959 -0.14664179
-0.13350956 -0.25857476
0.44027977 0.41360341
-0.46692175 -0.54389288
0.050208462 -0.030779902
-0.21790641 -0.24617309
0.31048543 0.27719399
0.14997742 0.15286419
-0.083464821 -0.08851131
0.04779001 -0.012339306
-0.33713196 -0.3800699
0.20672337 0.18623033
0.10883918 0.11359316
-0.06394999 -0.058901189
-0.043060395 -0.090737171
0.060738985 0.0058663884
0.13367328 0.027505032
0.098707436 0.084378032
0.24491743 0.2283274
0.098536711 0.071645855
-0.14949497 -0.13624827
-0.1052883 -0.11711158
0.094612498 0.051856009
-0.023538237 -0.11771091
0.13525322 0.078016266
-0.38481853 -0.51109291
-0.15767644 -0.19645294
-0.23018302 -0.26912489
-0.073288985 -0.079645916
0.21909082 0.18974419
0.043640878 0.084191245
0.62932781 0.66533192
0.30117117 0.25772408
0.17028013 0.098863319
0.56537782 0.50829782
-0.28973048 -0.29350593
-0.25845889 -0.25907854
-0.013642335 -0.028784923
-0.009235676 0.00058546636
-0.1675538 -0.29184396
0.18527322 0.16081401
-0.044996402 -0.10303135
-0.12517869 -0.144453
-0.083716189 -0.17047021
0.11843582 0.12244853
-0.19901475 -0.29382704
0.018832317 0.022903251
-0.041069417 -0.063172012
0.15144781 0.10708131
0.34501211 0.34107207
0.30068872 0.28911689
0.24261578 0.13293547
-0.1291029 -0.21090846
-0.017561301 -0.085563156
0.17866167 0.19116701
0.010010264 0.022650717
-0.15716743 -0.19399018
-0.23410723 -0.340276
-0.16894977 -0.25252662
-0.42595677 -0.53758914
0.10281864 0.12568923
0.073746699 0.074781702
0.21844915 0.18265509
0.16899382 -0.0057670639
0.030662508 -0.083021565
-0.39073956 -0.49419629
0.062677819 0.10322641
0.2760857 0.29878098
0.25485155 0.30600679
0.19226316 0.19222813
-0.031416864 -0.07080222
0.2056415 0.07038924
-0.030954712 -0.0031843422
-0.073827343 -0.10723886
-0.13285986 -0.17285936
0.099121059 0.095065601
-0.093726453 -0.12517818
0.044475567 0.026867145
0.10842556 0.099295914
0.21277997 0.19229339
-0.14300815 -0.15380137
-0.26547882 -0.27321485
-0.095575853 -0.16639287
-0.13244624 -0.18820812
0.29676174 0.28684674
0.067084478 0.11141633
0.24666473 0.10135651
-0.19830567 -0.2185048
-0.15064241 -0.26580676
-0.17196046 -0.32127136
-0.12946061 -0.17650327
0.17535178 0.1857357
-0.26872052 -0.31778566
0.18258588 0.19989378
-0.47084596 -0.59786187
-0.0039242135 -0.0056402224
-0.2204649 -0.28079703
-0.28749538 -0.41214369
-0.24917912 -0.26866304
-0.5001171 -0.59077591
0.020302709 -0.063806678
0.048247605 0.065545863
