margin oracle beat
0.42628975 0.055470965 0
0.3178642 0.052283789 0
0.12560103 0.055047723 0
0.20906585 0.03239709 0
0.24751675 0.086571237 0
0.25144096 0.121821 0
0.39701172 0.15353851 0
0.61491814 0.1307007 0
0.46494072 0.14126419 0
0.39119402 0.14331026 0
0.28235484 0.1050076 0
0.30785393 0.11101666 0
0.22413774 0.033148879 0
0.031874577 0.035591068 0
0.1153394 0.04024438 0
0.15379029 0.045608893 0
0.15771451 0.060512484 0
0.30328527 0.090818224 0
0.52119168 0.048814161 0
0.37121426 0.062570133 0
0.29746756 0.055142172 0
0.18862838 0.04120384 0
0.21412748 0.028031941 0
0.14030013 0.024054267 0
0.22376496 0.044103855 0
0.26221585 0.039771559 0
0.26614007 0.049735941 0
0.41171083 0.065372494 0
0.62961724 0.046488137 0
0.47963982 0.058169631 0
0.40589312 0.052308592 0
0.29705394 0.044961947 0
0.32255303 0.036659686 0
0.41602812 0.029065723 0
0.45447902 0.02726075 0
0.45840323 0.043643876 0
0.60397399 0.02669564 0
0.82188041 0.035884269 0
0.67190299 0.046630524 0
0.59815629 0.054961888 0
0.48931711 0.038595777 0
0.5148162 0.045323202 0
0.3710142 0.026982736 0
0.37493841 0.044449751 0
0.52050917 0.029315358 0
0.73841558 0.031571076 0
0.58843816 0.053381461 0
0.51469146 0.053707838 0
0.40585228 0.030376165 0
0.43135138 0.041351045 0
0.33648751 0.025735243 0
0.48205827 0.037265936 0
0.69996469 0.035773875 0
0.54998727 0.03689813 0
0.47624057 0.038312687 0
0.36740139 0.047614656 0
0.39290048 0.035737241 0
0.47813406 0.034355563 0
0.69604048 0.027406066 0
0.54606305 0.031645267 0
0.47231636 0.030706363 0
0.36347718 0.059594909 0
0.38897627 0.057832273 0
0.55046971 0.052285907 0
0.40049229 0.038809594 0
0.32674559 0.038178338 0
0.21790641 0.034299887 0
0.24340551 0.039514732 0
0.18258588 0.026906006 0
0.10883918 0.027156895 0
0.025499094 0.05036205 0
0.2588166 0.025054237 0
0.14997742 0.04132714 0
0.17547651 0.05276803 0
0.22372412 0.028773214 0
0.24922321 0.029836276 0
0.35806239 0.029781153 0
