pred true
-0.093726453 -0.12517818
0.014699104 -0.01356545
0.20696227 0.17593378
0.12349745 0.11511959
0.085046552 0.02249455
0.081122338 -0.016679428
-0.064448423 -0.1939677
-0.28235484 -0.3890363
-0.13237742 -0.24962237
-0.058630718 -0.17792175
0.050208462 -0.030779902
0.024709368 -0.062288055
0.10842556 0.099295914
0.30068872 0.28911689
0.2172239 0.23344905
0.178773 0.15718335
0.17484879 0.13835554
0.029278031 -0.037520958
-0.18862838 -0.21342331
-0.038650964 -0.077201861
0.035095735 0.0039727992
0.14393492 0.16111952
0.11843582 0.12244853
0.19226316 0.19222813
0.10879834 0.12888296
0.070347448 0.054595124
0.066423234 0.040706528
-0.079147526 -0.12050079
-0.29705394 -0.31952284
-0.14707652 -0.18122692
-0.073329822 -0.10161918
0.035509358 0.056452072
0.010010264 0.022650717
-0.083464821 -0.08851131
-0.12191572 -0.12515723
-0.12583993 -0.14546457
-0.27141069 -0.2740871
-0.48931711 -0.50118214
-0.33933969 -0.36195098
-0.26559299 -0.29653564
-0.15675381 -0.17133035
-0.1822529 -0.20355687
-0.038450896 -0.041414397
-0.04237511 -0.062805626
-0.18794587 -0.19324199
-0.40585229 -0.41340413
-0.25587487 -0.28523709
-0.18212817 -0.21181677
-0.073288985 -0.079645916
-0.09878808 -0.11611989
-0.0039242135 -0.0056402224
-0.14949497 -0.13624827
-0.36740139 -0.37915603
-0.21742397 -0.23030286
-0.14367727 -0.15797072
-0.034838089 -0.011242668
-0.060337183 -0.048619177
-0.14557076 -0.13523443
-0.36347718 -0.36686401
-0.21349976 -0.22112579
-0.13975306 -0.14644018
-0.030913876 0.0046617996
-0.05641297 -0.02259993
-0.21790641 -0.24617309
-0.067928995 -0.082719353
0.0058177044 -0.0083413976
0.11465688 0.12493754
0.089157791 0.10465329
0.14997742 0.15286419
0.22372412 0.22686178
0.3325633 0.35658253
0.30706421 0.33340702
0.073746699 0.074781702
0.18258588 0.19989378
0.15708679 0.18583558
0.10883918 0.11359316
0.083340086 0.089157128
-0.025499094 -0.019737175
