eps err
18.09984 0.16466411
12.729657 0.14083101
9.1347223 0.091694825
6.4187989 0.050116943
4.5968413 0.026363144
3.2240419 0.012884815
2.3058087 0.0064753906
1.6155673 0.0031134979
1.1546775 0.0015626139
